Inicio multiplicação -12h15m35s150032us
261865	256300	249675	264551	262351	216597	241163	253686	219549	242394	223293	269812	239788	256131	215189	248166	247268	269147	256962	243438	249691	234448	264225	229317	267743	261362	229201	235064	248179	281580	257243	242593	229050	242082	235993	256144	271385	242674	240066	255969	246027	234354	254793	236749	238260	230977	222739	238541	269757	245559	221710	259157	238107	246691	252157	251931	250811	240993	282949	219170	246794	268765	271578	265883	225136	284399	240576	252007	245493	243194	240715	261803	233337	270582	245803	246547	238890	265729	260444	247589	254949	227677	268847	283350	229956	220393	263455	238285	235120	260150	253561	262190	240527	242763	253499	237571	211163	216479	229700	238880	
291332	263269	265290	307926	283884	229618	295268	280220	270249	293138	257278	288470	275260	285723	261677	288849	283751	288038	277749	249495	265304	256179	278065	251964	310728	296737	266527	275083	258494	317893	282270	265910	255036	255144	253651	244119	310699	269268	258389	275110	274793	269135	272140	268220	261651	256446	277232	273034	284661	271747	268255	293422	243920	289964	282882	273386	273469	248504	304753	244258	264610	290497	279164	278335	253649	285787	279482	275267	287884	269882	261357	300796	280525	289267	285115	267231	297205	280950	299695	269006	280624	256719	285644	285667	271187	256129	291344	288287	275629	279610	274659	282368	244685	261239	288377	263663	260143	262668	255473	267704	
260554	252544	227873	250634	254128	199929	270098	244184	228903	243031	224078	246739	224491	238320	215940	241407	242192	260399	254953	224359	228060	234106	257606	222894	256344	253832	221577	238529	243897	265462	250708	231082	240666	238513	222465	235505	261426	238448	242125	266029	236732	231712	254020	244040	237834	232960	235112	236083	254463	254015	238817	272815	241027	246104	249440	232565	236940	253669	263435	203128	227341	263144	266809	249915	237591	258529	244179	261251	266082	248615	242381	258447	255743	252722	266795	237395	249878	257855	255407	253076	239424	242522	256883	271261	236172	232476	273505	256751	234117	239550	265506	228765	234930	244812	262306	244790	229157	231657	238584	225255	
241194	216558	230588	247564	223978	199671	238932	221952	199066	224122	209254	238492	223483	231992	195181	230929	218919	227057	227878	216920	208457	204415	221224	212389	256867	238989	209780	213722	218174	260939	233268	219520	209288	209238	201858	219497	248973	221333	222669	225734	220374	210505	217503	219497	222852	212004	218688	206085	232666	206656	217605	242779	209273	232517	231572	211101	227607	202905	230736	197762	216253	240488	230957	228640	199273	257685	229995	224218	227270	212605	220725	228934	225193	231379	225066	220869	228779	235565	232620	237166	219127	202418	233844	252923	205322	207146	227014	211870	207258	225740	213715	230845	222813	215041	242229	215407	189487	193310	206452	215744	
286119	260450	273155	287610	285108	239987	286844	271217	249848	279750	256170	290381	254985	289100	249609	275446	284977	277787	281916	258555	270523	271972	271931	272757	307845	305233	252569	263496	274635	305016	304617	277081	254534	255865	269148	274422	289667	268490	266164	289521	265624	267589	290547	287996	254826	269956	276490	255473	281209	277299	262630	286819	254885	285846	278532	269155	274045	245716	305080	240833	257737	289899	278712	286045	253246	308620	268006	273570	263063	275691	272160	284133	262763	278103	263383	265149	285780	296360	286933	272987	278468	274754	293723	307566	255629	259460	287565	277733	286386	286014	281101	258269	253039	261754	284819	269751	254920	237206	252061	252063	
318095	291234	304109	316013	318187	264906	323014	292727	289517	308563	281146	302892	284434	309520	275049	307567	301651	322874	294147	276744	292809	281317	281107	292777	336738	328115	283074	279721	294827	333478	300085	283975	277351	288600	283938	281787	326982	290536	279661	298580	272581	306657	304175	290949	296259	291338	295715	265695	305352	282812	298567	307245	276699	313095	297947	275861	293084	277136	314163	256145	285020	319244	304848	311677	292286	329964	296287	296190	274712	286265	308467	307946	303389	310886	309110	300025	294762	305347	304522	320080	298776	279930	325926	329300	281599	261180	314484	294619	312165	316109	307060	289303	292842	303900	310822	289202	277726	284754	280543	271484	
257460	251376	254099	256255	251428	204571	274819	251188	212603	265456	218312	262555	235473	254749	226038	265122	253411	256982	232941	218349	229332	233285	258425	241775	271356	249362	223637	239549	243651	265282	254790	249860	251218	232212	231448	237625	261759	249205	232669	256750	242957	235073	248406	255414	236380	238692	244594	228524	242004	240264	247594	285386	220426	268936	257992	233527	229913	234647	265989	216962	234230	266092	253225	254700	240560	272597	250935	256415	259390	250084	244643	269419	246067	248668	266080	253644	257656	272592	256859	252164	252649	242379	258493	272530	223148	242250	258591	234807	248279	235226	267693	238368	241734	234630	265689	247979	239885	224005	229236	227421	
277248	240793	242075	269989	262730	214431	280421	259574	254159	257313	249677	266730	240295	278706	226580	253280	250861	279210	256173	237547	233098	255849	246210	248094	283315	271378	238830	266566	263303	284220	261687	264779	244979	243025	221966	244486	285360	257232	262219	272760	245221	255918	265445	259778	255892	251568	248812	243262	269211	260825	236443	279666	247218	278165	268734	242392	260277	257083	282731	222709	260708	280272	264409	271150	231240	267953	279009	270985	273950	254069	248031	261432	257278	271405	265910	252146	247396	272643	278485	268067	249301	246905	273275	294786	249403	246502	261752	258619	243640	265209	252758	249198	235766	241003	280013	242841	225845	238808	248041	230311	
235957	216346	222869	257461	241104	187498	249324	248329	215030	223004	219068	237867	206634	232461	202060	228356	243995	239406	236011	213023	226984	215268	246138	223732	243782	255725	215601	226726	230857	253834	224744	219765	208546	229275	205822	228698	248370	217563	217460	225236	219308	225640	239631	221624	223522	217697	210774	206812	225845	218554	213745	239415	209883	236509	250727	225021	234087	227951	260890	199152	231582	243695	242629	243447	219507	255190	239352	230200	242880	216471	218019	237200	215954	239219	219592	225110	243738	234268	251660	218130	241042	220653	239416	246252	219672	203178	235307	215515	222757	219788	229925	239136	223266	208940	236637	211747	201046	210568	206720	207059	
275277	266404	269862	289868	297628	215161	291585	266956	254035	267322	260576	268111	267963	270616	247694	259533	276896	293254	260197	239545	247029	266496	266728	264825	288916	285577	252573	259681	268836	303972	267700	261669	250967	251273	257287	258294	281394	275138	251992	283457	276735	269066	272858	266830	265015	254021	250830	238373	291688	274740	269240	303182	242129	275077	273492	253161	268181	257712	275095	237007	258469	281789	290911	289418	245689	288890	280854	275051	270978	262487	253088	289295	280099	270890	267140	256936	267970	278692	286310	262513	267036	254279	275697	286180	262819	243794	280623	255598	268043	283543	264326	282344	264516	243347	277964	259681	240930	245894	250256	233726	
